,Estimated Earnings,Actual Earnings,Evenly Weighted Avg,Transaction Costs,Strategy Portfolio Growth,Avg Mean Portfolio Growth,Percentage Growth Difference,Strategy Annual Return,Avg Mean Annual Return,Annual Return Diference
2018-01-11,0.00786610165328969,-0.020093020600813635,-3.618942810066626e-05,0.0008,1.7251203483885336,1.0016264836417366,0.7223190246690576,-0.5418541574503842,-0.001872010866743222,-0.539982146583641
2018-01-12,0.009070055179127042,-0.02386675211831771,-4.997744685400177e-05,0.0008,1.6839473286592785,1.0015764249073829,0.6812968903646024,-0.5635161366824825,-0.001997679152673394,-0.5615184575298091
2018-01-15,0.007183981263659879,-0.04770997122486495,-7.390790068662002e-05,0.0008,1.603606250064756,1.0015024004964408,0.6012006054801814,-0.5489234765656502,-0.00203139298986804,-0.5468920835757822
2018-01-16,0.008666714951512236,-0.014591326382164092,-3.999716515050122e-05,0.0008,1.580207507881583,1.0014623432395295,0.5779000763722468,-0.5694264346257333,-0.0021487813096389675,-0.5672776533160944
2018-01-17,0.008718550960946725,-0.013577723695376303,-4.3927749256623536e-05,0.0008,1.5587518869582075,1.0014183512528256,0.556544160597945,-0.5811022079823345,-0.0022539783713242745,-0.5788482296110102
2018-01-18,0.009037808532556101,-0.04185171849815871,-8.319207389965053e-05,0.0008,1.4935154417767589,1.0013350411833437,0.49152419554974636,-0.5969453516855497,-0.0022900680005551173,-0.5946552836849947
2018-01-19,0.007846480252588963,-0.07208813285280513,-0.00020262689898800708,0.0008,1.38585070219224,1.0011321437691008,0.38428349425954494,-0.5701043055142252,-0.0020727542682330547,-0.5680315512459921
2018-01-22,0.008757628928707763,-0.10293585216228224,-0.00019938019727012865,0.0008,1.2431969791923845,1.0009325378447826,0.24203873107097498,-0.4971643147232236,-0.0018416682476151767,-0.4953226464756084
2018-01-23,0.007744739479618987,-0.05984736605852204,-0.00020467396159625835,0.0008,1.168794914495809,1.0007276730169714,0.1679450324104181,-0.4653021941654282,-0.0016058985742237245,-0.46369629559120445
2018-01-24,0.008698445195116224,-0.10924071425302236,-0.0002474363217403489,0.0008,1.0411149232209866,1.0004800566424963,0.040615368900862064,-0.3804868136274169,-0.001304330261347198,-0.3791824833660697
2018-01-25,0.009187797705660118,-0.05453999757422407,-0.00024885804753524464,0.0008,0.9843325178340255,1.0002310791290023,-0.01589488831802868,-0.35080412732117455,-0.0010183106073006548,-0.3497858167138739
2018-01-26,0.009274100818904625,-0.13681164379031932,-0.000251952816077004,0.0008,0.8496643680328887,0.999979068091888,-0.15031784649834978,-0.25513351761175196,-0.0007759326371756207,-0.25435758497457633
